Headline,URL
Skip to content,#main-content
British Broadcasting Corporation,/
Home,/
News,/news
Sport,/sport
Business,/business
Innovation,/innovation
Culture,/culture
Travel,/travel
Earth,/future-planet
Video,/video
Live,/live
Israel-Gaza War,/news/topics/c2vdnvdg6xxt
War in Ukraine,/news/war-in-ukraine
UK General Election,/news/topics/crggn4j2lm0t
US & Canada,/news/us-canada
UK,/news/uk
Africa,/news/world/africa
Asia,/news/world/asia
Australia,/news/world/australia
Europe,/news/world/europe
Latin America,/news/world/latin_america
Middle East,/news/world/middle_east
In Pictures,/news/in_pictures
BBC Verify,/news/reality_check
Home,/home
News,/news
Israel-Gaza War,/news/topics/c2vdnvdg6xxt
War in Ukraine,/news/war-in-ukraine
UK General Election,/news/topics/crggn4j2lm0t
US & Canada,/news/us-canada
UK,/news/uk
UK Politics,/news/politics
England,/news/england
N. Ireland,/news/northern_ireland
N. Ireland Politics,/news/northern_ireland/northern_ireland_politics
Scotland,/news/scotland
Scotland Politics,/news/scotland/scotland_politics
Wales,/news/wales
Wales Politics,/news/wales/wales_politics
Africa,/news/world/africa
Asia,/news/world/asia
China,/news/world/asia/china
India,/news/world/asia/india
Australia,/news/world/australia
Europe,/news/world/europe
Latin America,/news/world/latin_america
Middle East,/news/world/middle_east
In Pictures,/news/in_pictures
BBC Verify,/news/reality_check
Sport,/sport
Business,/business
Future of Business,/business/future-of-business
Technology of Business,/business/technology-of-business
Work Culture,/business/c-suite
Innovation,/innovation
Technology,/innovation/technology
Science & Health,/innovation/science
Artificial Intelligence,/innovation/artificial-intelligence
Culture,/culture
Film & TV,/culture/film-tv
Music,/culture/music
Art & Design,/culture/art
Style,/culture/style
Books,/culture/books
Entertainment News,/culture/entertainment-news
Travel,/travel
Destinations,/travel/destinations
Africa,/travel/destinations/africa
Antarctica,/travel/destinations/antarctica
Asia,/travel/destinations/asia
Australia and Pacific,/travel/destinations/australia-and-pacific
Caribbean & Bermuda,/travel/destinations/caribbean
Central America,/travel/destinations/central-america
Europe,/travel/destinations/europe
Middle East,/travel/destinations/middle-east
North America,/travel/destinations/north-america
South America,/travel/destinations/south-america
World’s Table,/travel/worlds-table
Culture & Experiences,/travel/cultural-experiences
Adventures,/travel/adventures
The SpeciaList,/travel/specialist
Earth,/future-planet
Natural Wonders,/future-planet/natural-wonders
Weather & Science,/future-planet/weather-science
Climate Solutions,/future-planet/solutions
Sustainable Business,/future-planet/sustainable-business
Green Living,/future-planet/green-living
Video,/video
Live,/live
Live News,/live/news
Live Sport,/live/sport
Home,/
Sport,/sport
Video,/video
Audio,https://www.bbc.co.uk/sounds
Weather,https://www.bbc.com/weather
Newsletters,https://www.bbc.com/newsletters
"'My 17-year-old was brutally killed, but I'm glad she fought for freedom'The BBC hears allegations of rape and torture by Myanmar's military in Chin State.18 hrs agoAsia",/news/articles/cydd87gen62o
"'My 17-year-old was brutally killed, but I'm glad she fought for freedom'",
"Refugees sent to Rwanda from remote UK island speak to BBCThe migrants, who the UN says are refugees, say they feel isolated and unsafe in the African country. 11 hrs agoWorld",/news/articles/c511kkwej7jo
Refugees sent to Rwanda from remote UK island speak to BBC,
"US jobs surge casts doubt over interest rate cutsUS employers added 272,000 jobs in May which was far higher than economists expected.1 hr agoBusiness",/news/articles/c97763pnlvpo
US jobs surge casts doubt over interest rate cuts,
Kagame critic barred from Rwanda's presidential raceDiane Rwigara says she feels cheated for a second time from being able to campaign.2 hrs agoAfrica,/news/articles/cw007n5pn4wo
Kagame critic barred from Rwanda's presidential race,
"LIVEBBC election debate: The issues that really matter to youAhead of the BBC election debate between leading figures from seven main parties, we're hearing from voters about the subjects they want politicians to focus on.",https://www.bbc.co.uk/news/live/uk-politics-69098963
BBC election debate: The issues that really matter to you,
"Refugees sent to Rwanda from remote UK island speak to BBCThe migrants, who the UN says are refugees, say they feel isolated and unsafe in the African country. 11 hrs agoWorld",/news/articles/c511kkwej7jo
Refugees sent to Rwanda from remote UK island speak to BBC,
CCTV appears to show Michael Mosley after leaving beachThe 67-year-old went missing on Wednesday after going for a walk on the Greek island of Symi. 21 mins agoUK,/news/articles/cl552xdq79do
CCTV appears to show Michael Mosley after leaving beach,
"The right could win big in Europe – thanks to young peopleWith the voting age lowered to 16 in some parts of the EU, politicians are targeting the youth vote.12 hrs agoEurope",/news/articles/cqqq952e3v6o
The right could win big in Europe – thanks to young people,
US urges Israel to be transparent over Gaza school strikeIsrael says it killed at least nine militants but the deaths of 14 children are also being reported.14 hrs agoWorld,/news/articles/cekkd8k2gy9o
US urges Israel to be transparent over Gaza school strike,
"US jobs surge casts doubt over interest rate cutsUS employers added 272,000 jobs in May which was far higher than economists expected.1 hr agoBusiness",/news/articles/c97763pnlvpo
US jobs surge casts doubt over interest rate cuts,
Tyson-Paul bout rescheduled for 15 November in USA19 mins agoBoxing,/sport/articles/c6pp017510lo
Tyson-Paul bout rescheduled for 15 November in USA,
Woman sues Netflix over Baby Reindeer character7 hrs agoCulture,/news/articles/c6ppe84jq6do
Woman sues Netflix over Baby Reindeer character,
Fatal black bear attack a first in California history4 hrs agoUS & Canada,/news/articles/cw445jn5pqpo
Fatal black bear attack a first in California history,
Why two UK judges cut ties with Hong Kong's courts6 hrs agoAsia,/news/articles/c722094n135o
Why two UK judges cut ties with Hong Kong's courts,
Records set in heatwave plaguing US Southwest40 mins agoUS & Canada,/news/articles/cn007eqpzwpo
Records set in heatwave plaguing US Southwest,
Features and analysis,
D-Day absence an extraordinary own goal from the ConservativesRishi Sunak’s decision to leave the most poignant event in Europe early was always likely to be spotted.6 hrs agoPolitics,/news/articles/c4nnz0w41kvo
D-Day absence an extraordinary own goal from the Conservatives,
"Why is Taylor Swift so big? 'She wants it more than anyone'As she launches the UK leg of her Eras tour, we look at how Taylor Swift became pop's biggest star.16 hrs agoCulture",/news/articles/cpvvx9lwl0do
Why is Taylor Swift so big? 'She wants it more than anyone',
Weekly quiz: Which runaway horse will wish the King a happy birthday?Test how closely you have been paying attention to what has been going on over the past seven days.22 hrs agoWorld,/news/world-69097605
Weekly quiz: Which runaway horse will wish the King a happy birthday?,
"Concern rises over AI in adult entertainmentAI in adult entertainment could have negative effects on society and individuals, experts say.16 hrs ago",/news/articles/c2qqxqgp9yno
Concern rises over AI in adult entertainment,
Down the Rabbit hole: Pocket-sized AI gadget put to the testThe R1 is the latest attempt to build AI-powered hardware that challenges our smartphone addiction.16 hrs ago,/news/articles/ce5571gvl3xo
Down the Rabbit hole: Pocket-sized AI gadget put to the test,
"Why is Taylor Swift so big? 'She wants it more than anyone'As she launches the UK leg of her Eras tour, we look at how Taylor Swift became pop's biggest star.16 hrs agoCulture",/news/articles/cpvvx9lwl0do
Why is Taylor Swift so big? 'She wants it more than anyone',
Witnesses tell of 'unimaginable' Gaza shelter air strikeDozens of people are reported to have been killed in the strike which Israel says targeted Hamas.1 day agoMiddle East,/news/articles/cp335xyymjgo
Witnesses tell of 'unimaginable' Gaza shelter air strike,
"Myanmar soldiers cut off tattoos and gave detainees urine to drink, witnesses tell BBCWitnesses tell the BBC the Myanmar army tortured and killed dozens of men in a village in Rakhine State.1 day agoAsia",/news/articles/ckmm6jep6l7o
"Myanmar soldiers cut off tattoos and gave detainees urine to drink, witnesses tell BBC",
Weekly quiz: Which runaway horse will wish the King a happy birthday?Test how closely you have been paying attention to what has been going on over the past seven days.22 hrs agoWorld,/news/world-69097605
Weekly quiz: Which runaway horse will wish the King a happy birthday?,
Most watched,
1On the coastal path near where Michael Mosley was last seen,/news/videos/cv22dz0w7k2o
On the coastal path near where Michael Mosley was last seen,
2Astronauts in Boeing capsule arrive at space station,/news/articles/c8vvrrv1mg1o
Astronauts in Boeing capsule arrive at space station,
"3Choking during sex led to real violence, woman says",/news/videos/cevvn1dpgvzo
"Choking during sex led to real violence, woman says",
4'Wanna feed the giraffe?' Moment toddler grabbed from truck,/news/videos/cl44z1ne6e1o
'Wanna feed the giraffe?' Moment toddler grabbed from truck,
5Zelensky and D-Day veteran call each other 'hero',/news/articles/cd11rej2qy8o
Zelensky and D-Day veteran call each other 'hero',
Also in news,
"On the coastal path near where Michael Mosley was last seenKnown for his TV programmes and his Just One Thing podcast which airs on BBC Radio 4, the presenter was last seen on Wednesday.2 hrs agoEurope",/news/videos/cv22dz0w7k2o
On the coastal path near where Michael Mosley was last seen,
'Lion' pouts and baptisms: Africa's top shotsA selection of the week's best photos from across the African continent.13 hrs agoAfrica,/news/articles/c8441wy2y77o
'Lion' pouts and baptisms: Africa's top shots,
